113,Weston,18675,8900,47.7,2650,14.2,1045,5.6,1570,8.4,915,,4.9,8840,47.3
114,Lambton Baby Point,7960,2375,29.8,440,5.5,180,2.3,220,2.8,115,,1.4,5445,68.4
115,Mount Dennis,13070,7045,53.9,1725,13.2,675,5.2,1055,8.1,520,,4.0,5445,41.7
116,Steeles,22750,15815,69.5,2815,12.4,1310,5.8,1445,6.4,1225,,5.4,5675,24.9
118,Tam O'Shanter-Sullivan,27220,16430,60.4,3965,14.6,1830,6.7,2120,7.8,1405,,5.2,9330,34.3
119,Wexford/Maryvale,28365,14390,50.7,3460,12.2,1510,5.3,1875,6.6,1410,,5.0,12345,43.5
120,Clairlea-Birchmount,26850,13605,50.7,3695,13.8,1625,6.1,1995,7.4,1090,,4.1,12100,45.1
121,Oakridge,13695,7235,52.8,2370,17.3,1150,8.4,1210,8.8,815,,6.0,5645,41.2
122,Birchcliffe-Cliffside,22705,6170,27.2,1085,4.8,395,1.7,620,2.7,330,,1.5,16060,70.7
123,Cliffcrest,16125,6145,38.1,1290,8.0,620,3.8,625,3.9,470,,2.9,9360,58.0
124,Kennedy Park,17105,9570,55.9,2055,12.0,1005,5.9,1030,6.0,735,,4.3,6795,39.7
125,Ionview,13365,7400,55.4,2625,19.6,1120,8.4,1505,11.3,650,,4.9,5270,39.4
126,Dorset Park,24280,14505,59.7,3660,15.1,1685,6.9,1955,8.1,1095,,4.5,8650,35.6
128,Agincourt South-Malvern West,24170,14895,61.6,3335,13.8,1280,5.3,1995,8.3,1865,,7.7,7375,30.5
129,Agincourt North,27525,18655,67.8,3580,13.0,1810,6.6,1720,6.2,1120,,4.1,7715,28.0
130,Milliken,23975,16285,67.9,2850,11.9,1460,6.1,1340,5.6,1185,,4.9,6465,27.0
133,Centennial Scarborough,13385,4915,36.7,480,3.6,250,1.9,150,1.1,100,,0.7,8305,62.0
134,Highland Creek,12645,7245,57.3,915,7.2,445,3.5,420,3.3,650,,5.1,4690,37.1
135,Morningside,17650,9865,55.9,2500,14.2,1175,6.7,1275,7.2,1005,,5.7,6735,38.2
136,West Hill,28140,13880,49.3,2935,10.4,1535,5.5,1280,4.5,1025,,3.6,13160,46.8
138,Eglinton East,22535,13280,58.9,3790,16.8,1845,8.2,1915,8.5,920,,4.1,8285,36.8
139,Scarborough Village,16530,9135,55.3,2905,17.6,1250,7.6,1650,10.0,805,,4.9,6550,39.6
140,Guildwood,9670,3325,34.4,465,4.8,280,2.9,170,1.8,85,,0.9,6200,64.1
141,Golfdale-Cedarbrae-Woburn,27075,14295,52.8,3745,13.8,1770,6.5,1890,7.0,1645,,6.1,11095,41.0
142,Woburn North,26585,15385,57.9,4530,17.0,1740,6.5,2755,10.4,1880,,7.1,9285,34.9
143,West Rouge,20655,9425,45.6,1270,6.1,610,3.0,580,2.8,515,,2.5,10600,51.3
144,Morningside Heights,24955,15130,60.6,2125,8.5,1060,4.2,1050,4.2,600,,2.4,9115,36.5
145,Malvern West,17315,10465,60.4,2205,12.7,1095,6.3,1060,6.1,755,,4.4,6085,35.1
146,Malvern East,26100,15745,60.3,3245,12.4,1580,6.1,1580,6.1,945,,3.6,9330,35.7
147,L'Amoreaux West,21560,13430,62.3,3085,14.3,1395,6.5,1690,7.8,965,,4.5,7135,33.1
148,East L'Amoreaux,21505,13745,63.9,3315,15.4,1685,7.8,1590,7.4,1220,,5.7,6510,30.3
149,Parkwoods-O'Connor Hills,13965,6090,43.6,1495,10.7,685,4.9,745,5.3,315,,2.3,7535,54.0
150,Fenside-Parkwoods,20515,11030,53.8,3250,15.8,1275,6.2,1950,9.5,1275,,6.2,8155,39.8
151,Yonge-Doris,20150,12905,64.0,4675,23.2,1770,8.8,2905,14.4,2645,,13.1,4610,22.9
152,East Willowdale,15510,9305,60.0,2675,17.2,1395,9.0,1220,7.9,975,,6.3,5215,33.6
153,Avondale,13790,7925,57.5,3395,24.6,1300,9.4,2090,15.2,1595,,11.6,4260,30.9
154,Oakdale-Beverley Heights,21430,11415,53.3,3195,14.9,1400,6.5,1755,8.2,1470,,6.9,8510,39.7
155,Downsview,17970,9530,53.0,2960,16.5,1175,6.5,1740,9.7,710,,4.0,7660,42.6
156,Bendale-Glen Andrew,18665,10360,55.5,2780,14.9,1180,6.3,1550,8.3,1470,,7.9,6870,36.8
157,Bendale South,10720,5700,53.2,1225,11.4,545,5.1,680,6.3,790,,7.4,4240,39.6
158,Islington,23475,9710,41.4,2125,9.1,810,3.5,1230,5.2,515,,2.2,13130,55.9
159,Etobicoke City Centre,23595,11470,48.6,3995,16.9,1195,5.1,2785,11.8,1375,,5.8,10745,45.5
160,Mimico-Queensway,17045,6615,38.8,1415,8.3,485,2.8,875,5.1,370,,2.2,10050,59.0
161,Humber Bay Shores,22610,10685,47.3,3490,15.4,1210,5.4,2280,10.1,1130,,5.0,10785,47.7
162,West Queen West,13175,3955,30.0,1035,7.9,340,2.6,700,5.3,510,,3.9,8700,66.0
163,Fort York-Liberty Village,19910,7330,36.8,2880,14.5,805,4.0,2065,10.4,1100,,5.5,11480,57.7
164,Wellington Place,25575,9275,36.3,3855,15.1,850,3.3,3005,11.8,2670,,10.4,13640,53.3
165,Harbourfront-CityPlace,28130,12915,45.9,6045,21.5,1345,4.8,4720,16.8,3125,,11.1,12095,43.0
166,St Lawrence-East Bayfront-The Islands,31285,13060,41.7,4730,15.1,1245,4.0,3480,11.1,2125,,6.8,16100,51.5
167,Church-Wellesley,22340,8985,40.2,3615,16.2,1150,5.1,2440,10.9,3335,,14.9,9985,44.7
168,Downtown Yonge East,17700,7120,40.2,2325,13.1,700,4.0,1625,9.2,2385,,13.5,8195,46.3
169,Bay-Cloverhill,16650,6980,41.9,2630,15.8,920,5.5,1720,10.3,3335,,20.0,6315,37.9
170,Yonge-Bay Corridor,12650,5640,44.6,2265,17.9,745,5.9,1510,11.9,2420,,19.1,4590,36.3
171,Junction-Wallace Emerson,23190,9020,38.9,1645,7.1,615,2.7,955,4.1,775,,3.3,13300,57.4
172,Dovercourt Village,12390,4430,35.8,660,5.3,215,1.7,405,3.3,460,,3.7,7455,60.2
173,North Toronto,15890,7145,45.0,3165,19.9,840,5.3,2325,14.6,2135,,13.4,6625,41.7
174,South Eglinton-Davisville,22735,9345,41.1,4115,18.1,1065,4.7,3025,13.3,2360,,10.4,10995,48.4
,City of Toronto,2761285,1286140,46.6,342360,12.4,144320,5.2,198040,7.2,145240,,5.3,1329905,48.2
